Date,Open,High,Low,Close,Adj Close,Volume,Log Returns,RSI,ATR
2012-10-08,76.29000091552734,76.43000030517578,75.44000244140625,76.02999877929688,76.02999877929688,338600,-0.006554821686381551,44.54730817958711,1.7172197622836116
2012-10-09,76.16000366210938,76.22000122070312,75.79000091552734,76.08000183105469,76.08000183105469,911000,0.0006574591198256611,44.8154045516341,1.6252755153473382
2012-10-10,76.04000091552734,76.80000305175781,75.62000274658203,75.9800033569336,75.9800033569336,337800,-0.0013152503633410335,44.35357840831331,1.5934701431922271
2012-10-11,76.25,76.86000061035156,75.05000305175781,76.12000274658203,76.12000274658203,461200,0.0018408865689291702,45.20493227617292,1.6089363871494788
2012-10-12,75.83000183105469,76.97000122070312,75.56999969482422,76.12999725341797,76.12999725341797,285900,0.00013129073038157897,45.26930823633154,1.594012468487295
2012-10-15,76.0999984741211,77.4000015258789,76.01000213623047,76.7300033569336,76.7300033569336,294200,0.007850440698927104,49.132957719376996,1.579440105713091
2012-10-16,77.0199966430664,77.2300033569336,76.27999877929688,76.6500015258789,76.6500015258789,515800,-0.0010431847146030436,48.6399105250813,1.5344804251362072
2012-10-17,76.47000122070312,78.29000091552734,76.47000122070312,77.69000244140625,77.69000244140625,405200,0.013476955162384207,54.96650138038548,1.554874658685351
2012-10-18,77.30000305175781,78.68000030517578,76.98999786376953,78.51000213623047,78.51000213623047,317300,0.010499452032521436,59.23073964189027,1.5645266431654152
2012-10-19,78.41000366210938,78.58000183105469,77.12000274658203,78.54000091552734,78.54000091552734,854000,0.0003820283868678764,59.382268730717264,1.5570603889730754
2012-10-22,78.13999938964844,79.08000183105469,77.61000061035156,78.16999816894531,78.16999816894531,650400,-0.004722141998461412,56.58857995170079,1.5508418769537933
2012-10-23,77.22000122070312,79.94999694824219,75.30999755859375,76.19000244140625,76.19000244140625,1179800,-0.025655666279655903,44.51859615914267,1.7714959850034107
2012-10-24,76.27999877929688,77.06999969482422,75.63999938964844,76.08999633789062,76.08999633789062,758000,-0.00131345046880003,44.00802450319019,1.7471034364442943
2012-10-25,76.91000366210938,77.62000274658203,76.0199966430664,76.19000244140625,76.19000244140625,299800,0.0013134504688000856,44.69114076673768,1.7365964840922465
2012-10-26,75.80000305175781,76.7300033569336,75.41999816894531,76.56999969482422,76.56999969482422,432000,0.004975098610878139,47.321072028697394,1.7061256772276774
2012-10-31,76.55000305175781,77.80999755859375,75.98999786376953,77.41000366210938,77.41000366210938,533700,0.010910667385130197,52.67780657999268,1.7142595356274304
2012-11-01,77.19999694824219,77.98999786376953,76.80999755859375,77.75,77.75,599300,0.004382532534760103,54.68629953337329,1.6760981620237412
2012-11-02,77.19999694824219,78.16999816894531,75.01000213623047,75.0999984741211,75.0999984741211,727000,-0.03467801260721608,40.32152135156328,1.7820908670731055
